"11823: Registered vehicles, by contents, type of fuel and year"

"contents";"type of fuel";"year";"11823: Registered vehicles,"
"Mopeds";"Other fuel";"2019";0
"Light motor cycles";"Petrol";"2016";24725
"Light motor cycles";"Petrol";"2017";25863
"Light motor cycles";"Petrol";"2018";26670
"Light motor cycles";"Petrol";"2019";28122
"Light motor cycles";"Diesel";"2016";2
"Light motor cycles";"Diesel";"2017";2
"Light motor cycles";"Diesel";"2018";2
"Light motor cycles";"Diesel";"2019";2
"Light motor cycles";"Paraffin";"2016";0
"Light motor cycles";"Paraffin";"2017";0
"Light motor cycles";"Paraffin";"2018";0
"Light motor cycles";"Paraffin";"2019";0
"Light motor cycles";"Gas";"2016";0
"Light motor cycles";"Gas";"2017";0
"Light motor cycles";"Gas";"2018";0
"Light motor cycles";"Gas";"2019";0
"Light motor cycles";"Electricity";"2016";65
"Light motor cycles";"Electricity";"2017";79
"Light motor cycles";"Electricity";"2018";81
"Light motor cycles";"Electricity";"2019";98
"Light motor cycles";"Hydrogen";"2016";0
"Light motor cycles";"Hydrogen";"2017";0
"Light motor cycles";"Hydrogen";"2018";0
"Light motor cycles";"Hydrogen";"2019";0
"Light motor cycles";"Petrol hybrid, chargeable";"2016";0
"Light motor cycles";"Petrol hybrid, chargeable";"2017";0
"Light motor cycles";"Petrol hybrid, chargeable";"2018";0
"Light motor cycles";"Petrol hybrid, chargeable";"2019";0
"Light motor cycles";"Petrol hybrid, non-chargeable";"2016";0
"Light motor cycles";"Petrol hybrid, non-chargeable";"2017";0
"Light motor cycles";"Petrol hybrid, non-chargeable";"2018";0
"Light motor cycles";"Petrol hybrid, non-chargeable";"2019";0
"Light motor cycles";"Diesel hybrid, chargeable";"2016";0
"Light motor cycles";"Diesel hybrid, chargeable";"2017";0
"Light motor cycles";"Diesel hybrid, chargeable";"2018";0
"Light motor cycles";"Diesel hybrid, chargeable";"2019";0
"Light motor cycles";"Diesel hybrid, non-chargeable";"2016";0
"Light motor cycles";"Diesel hybrid, non-chargeable";"2017";0
"Light motor cycles";"Diesel hybrid, non-chargeable";"2018";0
"Light motor cycles";"Diesel hybrid, non-chargeable";"2019";0
"Light motor cycles";"Other fuel";"2016";0
"Light motor cycles";"Other fuel";"2017";1
"Light motor cycles";"Other fuel";"2018";1
"Light motor cycles";"Other fuel";"2019";1
"Heavy motor cycles";"Petrol";"2016";157668
"Heavy motor cycles";"Petrol";"2017";162477
"Heavy motor cycles";"Petrol";"2018";164180
"Heavy motor cycles";"Petrol";"2019";168506
"Heavy motor cycles";"Diesel";"2016";45
"Heavy motor cycles";"Diesel";"2017";47
"Heavy motor cycles";"Diesel";"2018";48
"Heavy motor cycles";"Diesel";"2019";53
"Heavy motor cycles";"Paraffin";"2016";0
"Heavy motor cycles";"Paraffin";"2017";0
"Heavy motor cycles";"Paraffin";"2018";0
"Heavy motor cycles";"Paraffin";"2019";1
"Heavy motor cycles";"Gas";"2016";1
"Heavy motor cycles";"Gas";"2017";1
"Heavy motor cycles";"Gas";"2018";1
"Heavy motor cycles";"Gas";"2019";1
"Heavy motor cycles";"Electricity";"2016";1494
"Heavy motor cycles";"Electricity";"2017";1581
"Heavy motor cycles";"Electricity";"2018";1545
"Heavy motor cycles";"Electricity";"2019";1680
"Heavy motor cycles";"Hydrogen";"2016";0
"Heavy motor cycles";"Hydrogen";"2017";0
"Heavy motor cycles";"Hydrogen";"2018";0
"Heavy motor cycles";"Hydrogen";"2019";0
"Heavy motor cycles";"Petrol hybrid, chargeable";"2016";0
"Heavy motor cycles";"Petrol hybrid, chargeable";"2017";0
"Heavy motor cycles";"Petrol hybrid, chargeable";"2018";0
"Heavy motor cycles";"Petrol hybrid, chargeable";"2019";0
"Heavy motor cycles";"Petrol hybrid, non-chargeable";"2016";4
"Heavy motor cycles";"Petrol hybrid, non-chargeable";"2017";3
"Heavy motor cycles";"Petrol hybrid, non-chargeable";"2018";3
"Heavy motor cycles";"Petrol hybrid, non-chargeable";"2019";3
"Heavy motor cycles";"Diesel hybrid, chargeable";"2016";0
"Heavy motor cycles";"Diesel hybrid, chargeable";"2017";0
"Heavy motor cycles";"Diesel hybrid, chargeable";"2018";0
"Heavy motor cycles";"Diesel hybrid, chargeable";"2019";0
"Heavy motor cycles";"Diesel hybrid, non-chargeable";"2016";0
"Heavy motor cycles";"Diesel hybrid, non-chargeable";"2017";0
"Heavy motor cycles";"Diesel hybrid, non-chargeable";"2018";0
"Heavy motor cycles";"Diesel hybrid, non-chargeable";"2019";0
"Heavy motor cycles";"Other fuel";"2016";6
"Heavy motor cycles";"Other fuel";"2017";5
"Heavy motor cycles";"Other fuel";"2018";5
"Heavy motor cycles";"Other fuel";"2019";5
